Deutsch                                                 ; Englisch
aufrufen                                                ; to invoke
die Wiederholung                                        ; iteration
der Knotenpunkt                                         ; intersection
das Fach, der Gegenstand, das Thema                     ; subject
der Beobachter, der Zuschauer, der Betrachter           ; observer
die Gemeinschaft                                        ; association
die Zusammenfassung, die Anhäufung                      ; aggregation
der Aufbau, die Zusammensetzung                         ; composition
missbrauchen                                            ; to abuse
der Vermittler, der Zwischenhändler                     ; intermediary
unberechenbar, unbeständig                              ; volatile
opfern                                                  ; to sacrifice
die Grenze, die Abgrenzung                              ; boundary
die Belastung, die Verpflichtung                        ; liability
entschlossen, zielstrebig                               ; determined
etwas verhindern                                        ; to inhibit
etwas nutzen                                            ; to utilize
isoliert                                                ; insulated
angemessen, entsprechend                                ; appropriate
die Sorge, die Bedenken, der Konzern                    ; concern
fleißig                                                 ; diligent
die Bindigkeit, der Zusammenhang                        ; cohesion
abrufen, zurückholen                                    ; to retrive
die Tätigkeit                                           ; occupation
verschachtelt                                           ; nested
behaupten, erklären, feststellen                        ; to assert
der Schluss, der Abschluss                              ; conclusion
Gebilde;entity
einigermaßen, ein bisschen;somewhat
